Student 1,Student 2,Compatibility Score
Student_1,Student_2,0.38739116045664956
Student_1,Student_3,0.35917861947054774
Student_1,Student_4,0.4712215619701264
Student_1,Student_5,0.5103246526055115
Student_1,Student_6,0.33480630034045983
Student_1,Student_7,0.44515765927133744
Student_1,Student_8,0.4626691114918662
Student_1,Student_9,0.7429233053438122
Student_1,Student_10,0.8044381942814623
Student_1,Student_11,0.10774634053429337
Student_1,Student_12,0.3907306952842192
Student_1,Student_13,0.7994047464393821
Student_1,Student_14,0.6175873265993093
Student_1,Student_15,0.43975612358665706
Student_1,Student_16,0.44747431848606833
Student_1,Student_17,0.3875221681803515
Student_1,Student_18,0.36632411303931633
Student_1,Student_19,0.4856985862203937
Student_1,Student_20,0.4455995551330301
Student_1,Student_21,0.5513074057728609
Student_1,Student_22,0.11441273289066116
Student_1,Student_23,0.43564137848820556
Student_1,Student_24,0.3616316375215496
Student_1,Student_25,0.6501023306101957
Student_1,Student_26,0.7901849134895205
Student_1,Student_27,0.3546210347426327
Student_1,Student_28,0.2519905969557347
Student_1,Student_29,0.49399783122841207
Student_1,Student_30,0.4006980208499002
Student_2,Student_3,0.2461468640313824
Student_2,Student_4,0.7511351734525125
Student_2,Student_5,0.7066213067452105
Student_2,Student_6,0.4658601681614535
Student_2,Student_7,0.3376218450117315
Student_2,Student_8,0.37133033374656266
Student_2,Student_9,0.630479122004775
Student_2,Student_10,0.5984821490496441
Student_2,Student_11,0.5058831720648458
Student_2,Student_12,1.0
Student_2,Student_13,0.5937730048017941
Student_2,Student_14,0.5479187774964273
Student_2,Student_15,0.34506999065341165
Student_2,Student_16,0.34410635243055787
Student_2,Student_17,0.20849602097021025
Student_2,Student_18,0.4535701548596504
Student_2,Student_19,0.2930709040473935
Student_2,Student_20,0.35899599875433247
Student_2,Student_21,0.45307299520876604
Student_2,Student_22,0.7081286211883896
Student_2,Student_23,0.7562962884192361
Student_2,Student_24,0.4417100498907792
Student_2,Student_25,0.5443981895980303
Student_2,Student_26,0.40747293605123264
Student_2,Student_27,0.4561037026543346
Student_2,Student_28,0.3497909840603585
Student_2,Student_29,0.7011732738330879
Student_2,Student_30,0.8127766489578842
Student_3,Student_4,0.19408428611164172
Student_3,Student_5,0.35547097381170034
Student_3,Student_6,0.49797807347566103
Student_3,Student_7,0.8978231879677279
Student_3,Student_8,0.4109877685198719
Student_3,Student_9,0.6082541634898803
Student_3,Student_10,0.35813509636000634
Student_3,Student_11,0.7630547880715433
Student_3,Student_12,0.2502100384163276
Student_3,Student_13,0.3568195297129496
Student_3,Student_14,0.4968973324340654
Student_3,Student_15,0.40324166352488444
Student_3,Student_16,0.8986985694563231
Student_3,Student_17,0.7509699596499272
Student_3,Student_18,0.3059515702543692
Student_3,Student_19,0.6418177931676653
Student_3,Student_20,0.4209238727568546
