,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Student_1,1,1,1,1,1,0,0
Student_2,1,1,0,1,1,0,1
Student_3,1,1,1,0,1,0,1
Student_4,1,1,0,1,1,1,0
Student_5,1,0,0,1,0,0,1
Student_6,0,1,0,0,1,1,1
Student_7,0,1,1,1,1,1,1
Student_8,1,0,1,0,0,1,0
Student_9,0,0,0,0,0,0,0
Student_10,0,0,1,0,0,1,1
Student_11,1,0,0,0,1,0,0
Student_12,1,1,1,0,0,0,0
Student_13,1,0,0,1,1,1,0
Student_14,1,0,1,1,0,1,1
Student_15,1,0,1,0,1,1,1
Student_16,1,1,1,0,0,1,1
Student_17,0,1,1,1,0,1,1
Student_18,0,1,0,1,1,1,1
Student_19,1,0,0,0,0,1,1
Student_20,0,1,1,1,0,0,1
Student_21,0,1,0,1,1,1,1
Student_22,1,1,1,1,1,1,1
Student_23,0,0,0,1,0,0,0
Student_24,0,1,1,1,0,0,1
Student_25,0,1,0,1,0,0,1
Student_26,0,0,1,0,1,0,0
Student_27,1,1,1,1,1,0,0
Student_28,1,1,0,0,1,1,0
Student_29,0,0,0,1,0,0,0
Student_30,1,0,1,1,1,1,1
Student_31,1,0,0,0,0,1,0
Student_32,0,0,0,0,0,0,1
Student_33,1,1,1,0,0,1,1
Student_34,1,0,0,1,0,1,0
Student_35,0,0,1,0,0,0,0
Student_36,1,1,1,0,1,1,1
Student_37,1,1,1,0,0,1,1
Student_38,1,0,0,0,0,1,0
Student_39,0,1,1,1,0,1,1
Student_40,0,1,1,1,1,1,0
