Student 1,Student 2,Compatibility Score
Student_1,Student_2,0.4443771247075902
Student_1,Student_3,0.4398716887966557
Student_1,Student_4,0.4531424733259527
Student_1,Student_5,0.34091975924478785
Student_1,Student_6,0.33587696298664704
Student_1,Student_7,0.5646564876892155
Student_1,Student_8,0.5477422369951347
Student_1,Student_9,0.5506752820468792
Student_1,Student_10,0.38575251813786543
Student_2,Student_3,0.2945561727547482
Student_2,Student_4,0.5011092258970986
Student_2,Student_5,0.888490064225777
Student_2,Student_6,0.7037569801834568
Student_2,Student_7,0.8939936131008119
Student_2,Student_8,0.19708306250206725
Student_2,Student_9,0.893982933877706
Student_2,Student_10,0.5685227818450893
Student_3,Student_4,0.7998650277526206
Student_3,Student_5,0.389422890710441
Student_3,Student_6,0.4082254491210319
Student_3,Student_7,0.3877915635002898
Student_3,Student_8,0.7020886359500476
Student_3,Student_9,0.38040329876120227
Student_3,Student_10,0.33671813951101565
Student_4,Student_5,0.40196861235869125
Student_4,Student_6,0.40738466579995414
Student_4,Student_7,0.6017136828118996
Student_4,Student_8,0.4988435171761176
Student_4,Student_9,0.5969889630441071
Student_4,Student_10,0.5352147800963256
Student_5,Student_6,0.792801557916053
Student_5,Student_7,0.7953936122904022
Student_5,Student_8,0.3105712222621892
Student_5,Student_9,0.8034361828956846
Student_5,Student_10,0.4323695984463726
Student_6,Student_7,0.803240839693948
Student_6,Student_8,0.09614917719583684
Student_6,Student_9,0.7932307799969405
Student_6,Student_10,0.2561167628884087
Student_7,Student_8,0.11030999522495952
Student_7,Student_9,1.0
Student_7,Student_10,0.44160782476777355
Student_8,Student_9,0.09690787624148786
Student_8,Student_10,0.6533126343140356
Student_9,Student_10,0.4597554512712235
