Student 1,Student 2,Compatibility Score
Student_1,Student_2,0.4952082576215471
Student_1,Student_3,0.6481434102333619
Student_1,Student_4,0.5389366502599396
Student_1,Student_5,0.28803793375919334
Student_1,Student_6,0.45812525822394196
Student_1,Student_7,0.8135624002857081
Student_1,Student_8,0.8992798987841967
Student_1,Student_9,0.8600353289789202
Student_1,Student_10,0.5536163602504762
Student_1,Student_11,0.44354880245394873
Student_1,Student_12,0.5536139560550842
Student_1,Student_13,0.6153803656646597
Student_1,Student_14,0.4496417396089004
Student_1,Student_15,0.51564643655814
Student_1,Student_16,0.32380254895910254
Student_1,Student_17,0.5082190250437523
Student_1,Student_18,0.7008704706823816
Student_1,Student_19,0.6970099264953413
Student_1,Student_20,0.750917607765355
Student_2,Student_3,0.6301243108539911
Student_2,Student_4,0.7478032811216249
Student_2,Student_5,0.8035711257151175
Student_2,Student_6,0.6647789404474151
Student_2,Student_7,0.4948172978172635
Student_2,Student_8,0.3919150639710681
Student_2,Student_9,0.6449824295641545
Student_2,Student_10,0.3591540211770207
Student_2,Student_11,0.4532875110965968
Student_2,Student_12,0.3447023979623296
Student_2,Student_13,0.3051326743311336
Student_2,Student_14,0.45097077549348036
Student_2,Student_15,0.2096864499053289
Student_2,Student_16,0.34297946906122645
Student_2,Student_17,0.19672337853402233
Student_2,Student_18,0.39607891846867843
Student_2,Student_19,0.38536485051867886
Student_2,Student_20,0.5529612027706456
Student_3,Student_4,0.7026105527217988
Student_3,Student_5,0.4500511345664246
Student_3,Student_6,0.7976541286662485
Student_3,Student_7,0.6358462925794958
Student_3,Student_8,0.5457935467723465
Student_3,Student_9,0.4965728548347323
Student_3,Student_10,0.19197722730778383
Student_3,Student_11,0.29838714288333995
Student_3,Student_12,0.4040405085681454
Student_3,Student_13,0.46886185901210525
Student_3,Student_14,0.10174577812831839
Student_3,Student_15,0.15257550390722763
Student_3,Student_16,0.6992555408423383
Student_3,Student_17,0.33081228784700956
Student_3,Student_18,0.5497348612455077
Student_3,Student_19,0.35060230209941023
Student_3,Student_20,0.4246324211248529
Student_4,Student_5,0.7480763903521888
Student_4,Student_6,0.7030154734233361
Student_4,Student_7,0.5496528823029476
Student_4,Student_8,0.43831321962380465
Student_4,Student_9,0.41142822814515023
Student_4,Student_10,0.10751933032686775
Student_4,Student_11,0.20791031947043048
Student_4,Student_12,0.29090612545205263
Student_4,Student_13,0.364027943109361
Student_4,Student_14,0.3859814893720772
Student_4,Student_15,0.45586857093800265
Student_4,Student_16,0.4219045562580998
Student_4,Student_17,0.2400946367486931
