,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Student_1,0,1,0,0,1,0,0
Student_2,1,0,0,1,1,0,0
Student_3,1,1,0,0,0,0,0
Student_4,1,0,0,0,1,0,1
Student_5,1,0,0,1,1,1,1
Student_6,1,0,0,0,0,1,0
Student_7,0,0,0,0,0,0,0
Student_8,0,1,0,0,1,1,0
Student_9,0,1,0,1,1,0,0
Student_10,0,1,1,1,1,1,0
Student_11,0,0,1,1,0,0,0
Student_12,0,1,0,1,0,1,1
Student_13,0,0,1,0,0,0,0
Student_14,0,0,1,1,1,0,1
Student_15,0,0,1,0,1,1,1
Student_16,1,1,1,0,0,1,0
Student_17,0,0,1,0,0,1,0
Student_18,0,0,0,0,0,0,1
Student_19,0,0,0,0,1,1,1
Student_20,0,1,0,1,1,0,1
